0,1,2,3
Genesis,1,1,"In the beginning, when God created the universe,"
Genesis,1,2,"the earth was formless and desolate. The raging ocean that covered everything was engulfed in total darkness, and the Spirit of God was moving over the water."
Genesis,1,3,"Then God commanded, “Let there be light” — and light appeared."
Genesis,1,4,"God was pleased with what he saw. Then he separated the light from the darkness,"
Genesis,1,5,and he named the light “Day” and the darkness “Night”. Evening passed and morning came — that was the first day.
Genesis,2,1,And so the whole universe was completed.
Genesis,2,2,By the seventh day God finished what he had been doing and stopped working.
Genesis,2,3,"He blessed the seventh day and set it apart as a special day, because by that day he had completed his creation and stopped working."
Genesis,2,4,"And that is how the universe was created. When the LORD God made the universe,"
Genesis,2,5,"there were no plants on the earth and no seeds had sprouted, because he had not sent any rain, and there was no one to cultivate the land;"
Genesis,2,6,but water would come up from beneath the surface and water the ground.
Genesis,2,7, Then the LORD God took some soil from the ground and formed a man out of it; he breathed life-giving breath into his nostrils and the man began to live.
Genesis,2,8,"Then the LORD God planted a garden in Eden, in the East, and there he put the man he had formed."
Genesis,2,9,He made all kinds of beautiful trees grow there and produce good fruit. In the middle of the garden stood the tree that gives life and the tree that gives knowledge of what is good and what is bad.
Genesis,2,10,A stream flowed in Eden and watered the garden; beyond Eden it divided into four rivers.
Genesis,2,11,The first river is the Pishon; it flows round the country of Havilah.
Genesis,2,12,(Pure gold is found there and also rare perfume and precious stones.)
Genesis,2,13,The second river is the Gihon; it flows round the country of Cush.
Genesis,2,14,"The third river is the Tigris, which flows east of Assyria, and the fourth river is the Euphrates."
Genesis,2,15,Then the LORD God placed the man in the Garden of Eden to cultivate it and guard it.
Genesis,2,16,"He said to him, “You may eat the fruit of any tree in the garden,"
Genesis,2,17,"except the tree that gives knowledge of what is good and what is bad. You must not eat the fruit of that tree; if you do, you will die the same day.”"
Genesis,2,18,"Then the LORD God said, “It is not good for the man to live alone. I will make a suitable companion to help him.”"
Genesis,2,19,So he took some soil from the ground and formed all the animals and all the birds. Then he brought them to the man to see what he would name them; and that is how they all got their names.
Genesis,2,20,So the man named all the birds and all the animals; but not one of them was a suitable companion to help him.
Genesis,2,21,"Then the LORD God made the man fall into a deep sleep, and while he was sleeping, he took out one of the man's ribs and closed up the flesh."
Genesis,2,22,He formed a woman out of the rib and brought her to him.
Genesis,2,23,"Then the man said, “At last, here is one of my own kind — Bone taken from my bone, and flesh from my flesh. ‘Woman’ is her name because she was taken out of man.”"
Genesis,2,24," That is why a man leaves his father and mother and is united with his wife, and they become one."
Genesis,2,25,"The man and the woman were both naked, but they were not embarrassed."
Genesis,3,1," Now the snake was the most cunning animal that the LORD God had made. The snake asked the woman, “Did God really tell you not to eat fruit from any tree in the garden?”"
Genesis,3,2,"“We may eat the fruit of any tree in the garden,” the woman answered,"
Genesis,3,3,"“except the tree in the middle of it. God told us not to eat the fruit of that tree or even touch it; if we do, we will die.”"
Genesis,3,4,"The snake replied, “That's not true; you will not die."
Genesis,3,5,"God said that, because he knows that when you eat it you will be like God and know what is good and what is bad.”"
Genesis,3,6,"The woman saw how beautiful the tree was and how good its fruit would be to eat, and she thought how wonderful it would be to become wise. So she took some of the fruit and ate it. Then she gave some to her husband, and he also ate it."
Genesis,3,7,"As soon as they had eaten it, they were given understanding and realized that they were naked; so they sewed fig leaves together and covered themselves."
Genesis,3,8,"That evening they heard the LORD God walking in the garden, and they hid from him among the trees."
